car_id_claims,claim_number,full_refunds,partial_refunds,voucher_amount,claim_status
7525691980,,0,0,,
8543168465,C1AG79687,0,1,620.14,CLOSED_FULLY_PROCESSED
7308726237,,0,0,,
9070724843,,0,0,,
6274074693,,0,0,,
5203752715,,0,0,,
5002599271,,0,0,,
1944427289,,0,0,,
6593209394,,0,0,,
6144821406,C1AG21631,0,1,694.45,CLOSED_NO_COMPENSATION
6463026701,C1KU35864,0,1,11872.67,REJECTED
6769194646,,0,0,,
3500167428,,0,0,,
7284631902,,0,0,,
9958952730,,0,0,,
4333827720,,0,0,,
2180882132,,0,0,,
7058803547,,0,0,,
5670834788,,0,0,,
9087549209,C1UX21668,1,0,,CLOSED_FULLY_PROCESSED
1502282226,,0,0,,
7277314127,,0,0,,
5115302917,,0,0,,
4482596841,,0,0,,
5232725446,,0,0,,
7906126995,,0,0,,
6759305505,,0,0,,
1139347925,,0,0,,
2886221387,,0,0,,
7000890383,C1KG49202,0,1,4182.35,CLOSED_FULLY_PROCESSED
2736321578,C1ND84655,0,1,1914.20,CLOSED_FULLY_PROCESSED
9408249982,,0,0,,
7614427151,,0,0,,
6620747538,,0,0,,
1988746560,,0,0,,
1473256998,C1KU53944,0,1,2368.54,REJECTED
7557018618,,0,0,,
3125176001,C1PP48663,0,0,,CLOSED_ITEMS_FOUND_AND_SENT
3602195794,,0,0,,
1638526281,,0,0,,
9727699609,,0,0,,
9158351685,,0,0,,
8770407614,,0,0,,
8932597501,C1GP55061,0,1,4121.71,CLOSED_FULLY_PROCESSED
7740742301,,0,0,,
4269216002,C1XV53678,0,1,3180.60,CLOSED_FULLY_PROCESSED
6216310273,C1VN62045,0,1,8826.82,CLOSED_FULLY_PROCESSED
8353301721,C1WZ53903,0,1,1658.58,CLOSED_FULLY_PROCESSED
6689130402,,0,0,,
8252585161,C1JD30509,0,1,1370.74,CLOSED_FULLY_PROCESSED
8217883492,C1GV85764,0,0,,CREATED
5895913688,C1CC44453,0,0,,CLOSED_ITEMS_FOUND_AND_SENT
9499677015,,0,0,,
3155972134,,0,0,,
6278479084,,0,0,,
4972681593,,0,0,,
5254798015,,0,0,,
2071051567,,0,0,,
5941775354,,0,0,,
5688384436,,0,0,,
6952126336,,0,0,,
6219807491,,0,0,,
3626526062,,0,0,,
4009955981,,0,0,,
1863115443,C1NE04992,0,1,797.56,CLOSED_FULLY_PROCESSED
1177453285,,0,0,,
1021854212,C2HX60666,0,1,5294.86,CLOSED_FULLY_PROCESSED
8630310671,C1VX63332,0,1,4417.33,CLOSED_FULLY_PROCESSED
4534946845,C1JG66922,0,0,,CLOSED_ITEMS_FOUND_AND_SENT
5493234075,C1CM06061,1,0,,REJECTED
2902272051,C1HV31312,0,1,7241.84,CLOSED_FULLY_PROCESSED
6876098036,C1GC51986,0,1,1878.58,REJECTED
7954840154,,0,0,,
4849054329,,0,0,,
4564487025,,0,0,,
1175774292,,0,0,,
7079064691,,0,0,,
3646511463,,0,0,,
8489536127,,0,0,,
3138157942,,0,0,,
5547148008,C1ZA43243,0,1,3628.66,CLOSED_FULLY_PROCESSED
5645667487,C1VZ51544,0,1,241.98,REJECTED
9659059439,C2PK03886,1,0,,CLOSED_NO_COMPENSATION
6340260029,,0,0,,
5074072578,,0,0,,
8187437690,C1UE18170,0,1,2326.27,WAITING_FOR_SALES_TO_NEGOTIATE_WITH_THE_MERCHANT
2262424057,,0,0,,
6415321279,,0,0,,
2787176165,,0,0,,
2818862505,C1CT88602,0,1,3403.93,CLOSED_NO_COMPENSATION
5505921717,,0,0,,
2120486968,,0,0,,
5064193903,C1MD40173,0,1,5753.68,CLOSED_FULLY_PROCESSED
5641233405,,0,0,,
3902169790,,0,0,,
6637594461,,0,0,,
7837326947,,0,0,,
6836375952,,0,0,,
2077052853,,0,0,,
6564369724,C1KR99635,1,0,,CLOSED_NO_COMPENSATION
8735693661,,0,0,,
1396768759,,0,0,,
3087324203,,0,0,,
2539184959,,0,0,,
4597065600,,0,0,,
9762341694,C1RW64296,0,1,5877.15,CLOSED_FULLY_PROCESSED
8835660146,,0,0,,
5296360259,,0,0,,
2671384337,,0,0,,
8464994989,,0,0,,
4539699970,,0,0,,
5106237246,C1CR29614,0,1,591.07,CLOSED_FULLY_PROCESSED
2479772413,,0,0,,
8939030165,,0,0,,
3644121447,,0,0,,
8201280535,,0,0,,
7944973192,,0,0,,
6943693172,C1HY48986,0,1,3623.89,CLOSED_FULLY_PROCESSED
7725931576,C1NU90082,0,1,502.13,CLOSED_NO_COMPENSATION
9633115046,C1BA65287,0,1,897.57,CLOSED_FULLY_PROCESSED
9192632434,C1HC88084,0,0,,2ND_DECISION_WAITING_FOR_LOCAL_OPS_MD_DECISION
9299212174,,0,0,,
3997881426,C1ZX84167,0,1,1552.37,REJECTED
9424112708,,0,0,,
6020186364,,0,0,,
2938254369,,0,0,,
4322945569,,0,0,,
2538664753,C1HZ55932,0,1,1007.63,REJECTED
9090770341,,0,0,,
8160362737,C1HE71790,0,1,1597.63,CLOSED_WAITING_FOR_MORE_PROOF
7876457307,,0,0,,
4886782359,,0,0,,
6994199318,C1UM96507,0,1,316.47,REJECTED
7206703785,C3EX23597,0,1,1705.53,CLOSED_FULLY_PROCESSED
6839528262,,0,0,,
8731648232,C1EZ85064,0,1,3650.71,REJECTED
1832802747,,0,0,,
2621355155,C1ZN60454,0,1,672.10,CLOSED_FULLY_PROCESSED
5904080436,C1JM10947,0,1,962.36,CLOSED_FULLY_PROCESSED
3138424238,,0,0,,
7140659639,,0,0,,
9034136930,C1MJ44179,0,1,2532.73,CLOSED_NO_COMPENSATION
6931467469,,0,0,,
